PROD_CD,PROD_NAME,MODEL_NAME,UNIT_PRICE
PCA-STF007,"[◆Lanstar-Plus] 스테레오연장케이블 , 3.5ST M/F, 10M , 일반 type [70070]",LSP-ST-MF-10MN,1300
PCA-STM001,"[◆Lanstar-Plus] 스테레오케이블 , 3.5ST M/M, 0.5M, 일반 type [70052](400개)",LSP-ST-MM-0.5MN,350
PCA-STM002,"[◆Lanstar-Plus] 스테레오케이블 , 3.5ST M/M,1M, 일반 type [70053](300개)",LSP-ST-MM-1MN,300
PCA-STM003,"[◆Lanstar-Plus] 스테레오케이블 , 3.5ST M/M, 1.5M, 일반 type [70054](250개)",LSP-ST-MM-1.5MN,450
PCA-STM004,"[◆Lanstar-Plus] 스테레오케이블 , 3.5ST M/M, 2M, 일반 type [70055](220개)",LSP-ST-MM-2MN,450
PCA-STM005,"[◆Lanstar-Plus] 스테레오케이블 , 3.5ST M/M, 3M, 일반 type [70056](180개)",LSP-ST-MM-3MN,600
PCA-STM006,"[◆Lanstar-Plus] 스테레오케이블 , 3.5ST M/M, 5M, 일반 type [70057](150개)",LSP-ST-MM-5MN,400
PCA-STM007,"[◆Lanstar-Plus] 스테레오케이블 , 3.5ST M/M, 10M, 일반 type [70058](80개)",LSP-ST-MM-10MN,500
PCA-U5G001,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 1M [70001] (200개),LSP-5UTPD-1MG,350
PCA-U5G002,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 2M [70002] (150개),LSP-5UTPD-2MG,500
PCA-U5G003,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 3M [70003] (120개),LSP-5UTPD-3MG,600
PCA-U5G004,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 5M [70004] (80개),LSP-5UTPD-5MG,750
PCA-U5G005,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 10M [70005] (50개),LSP-5UTPD-10MG,1300
PCA-U5G006,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 15M [70006] (32개),LSP-5UTPD-15MG,1800
PCA-U5G007,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 0.5M [70063] (500개),LSP-5UTPD-0.5MG,300
PCA-U5G011,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 20M [70074] (28개),LSP-5UTPD-20MG,2500
PCA-U5G012,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 30M [70075] (24개),LSP-5UTPD-30MG,4000
PCA-U5G013,[◆Lanstar-Plus] CAT.5e UTP 랜케이블 50M [70076] (16개),LSP-5UTPD-50MG,5500
PCA-UAA001,"[◆Lanstar-Plus] USB 2.0케이블 , A/M-A/M, 1.8M [70035](200개)",LSP-USB-AMAM-1.8M,550
PCA-UAA002,"[◆Lanstar-Plus] USB 2.0케이블 , A/M-A/M, 3M [70036](100개)",LSP-USB-AMAM-3M,700
PCA-UAA003,"[◆Lanstar-Plus] USB 2.0케이블 , A/M-A/M, 5M [70037](50개)",LSP-USB-AMAM-5M,1100
PCA-UAB001,"[◆Lanstar-Plus] USB 2.0케이블 , A/M-B/M, 1.8M [70038](200개)",LSP-USB-AMBM-1.8M,550
PCA-UAB002,"[◆Lanstar-Plus] USB 2.0케이블 , A/M-B/M, 3M [70039](100개)",LSP-USB-AMBM-3M,700
PCA-UAB003,"[◆Lanstar-Plus] USB 2.0케이블 , A/M-B/M, 5M [70040](50개)",LSP-USB-AMBM-5M,1100
PCA-US5001,"[◆Lanstar-Plus] USB 2.0미니케이블 , USB A/M-5PIN Mini, 0.5M [70041](400개)",LSP-USB-AM5P-0.5M,500
PCA-US5002,"[◆Lanstar-Plus] USB 2.0미니케이블 , USB A/M-5PIN Mini, 1M [70042](300개)",LSP-USB-AM5P-1M,550
PCA-US5003,"[◆Lanstar-Plus] USB 2.0미니케이블 , USB A/M-5PIN Mini, 1.5M [70043](250개)",LSP-USB-AM5P-1.5M,650
PCA-US5004,"[◆Lanstar-Plus] USB 2.0미니케이블 , USB A/M-5PIN Mini, 2M [70044](200개)",LSP-USB-AM5P-2M,700
PCA-US5005,"[◆Lanstar-Plus] USB 2.0미니케이블 , USB A/M-5PIN Mini, 3M [70045](100개)",LSP-USB-AM5P-3M,900
PCA-U연장001,"[◆Lanstar-Plus] USB 2.0연장케이블 , A형M/F, 1M [70031][300개]",LSP-USB-AMAF-1M,450
PCA-U연장002,"[◆Lanstar-Plus] USB 2.0연장케이블 , A형M/F, 1.8M [70032][200개]",LSP-USB-AMAF-1.8M,550
PCA-U연장003,"[◆Lanstar-Plus] USB 2.0연장케이블 , A형M/F, 3M [70033][100개]",LSP-USB-AMAF-3M,700
PCA-U연장004,"[◆Lanstar-Plus] USB 2.0연장케이블 , A형M/F, 5M [70034][50개]",LSP-USB-AMAF-5M,1100
PCI-SFP001,[LANstar] PCIe SFP28 듀얼 25G 서버랜카드 Mellanox (ConnectX-4) 칩셋 [30867] [10개],LS-MX25SFP,160000
PCI-SFP002,[LANstar] PCIe SFP28 듀얼 10G 서버랜카드 Mellanox (ConnectX-4) 칩셋 [30866],LS-MX10SFP,114000
POE-PCI001,[LANstar] PCIe 인텔 i210 PoE+ 싱글 랜카드 [30823] (50개),LS-POECS,60000
POE-PCI002,[LANstar] PCIe 인텔 82576 PoE+ 듀얼 랜카드 [30824] (50개),LS-POECD,90000
RJ45-PC001,[LANstar] 10GbE PCIe 랜카드 Marvell AQC107 [30734] (50개),LS-AQC107,80000
SOL-PSA001,[LANstar] PatchSee 식별용 라이트 후레쉬 불빛 추적기능[10611],PatchLight,89000
SOL-PSA002,"랜콘넥터 보호캡, RJ45 Plug Cap protection(3개)",PlugCap,6000
SOL-PSA003,"[LANstar] 케이블타이, ID-Scratch, 길이2.5M, Black",IDS-2.5M-Black,15000
SOL-PSC001,"Patch Clip,식별용 Name tie, Light Blue(BC)",Patchclip-BC,800
SOL-PSF001,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 0.6M(12개)[10602]",PCI6-F2-0.6M,12800
SOL-PSF002,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 1.2M(12개)[10603]",PCI6-F4-1.2M,14000
SOL-PSF003,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 2.1M(12개)[10604]",PCI6-F7-2.1M,16200
SOL-PSF004,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 3.1M(6개)[10605]",PCI6-F10-3.1M,18500
SOL-PSF005,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 4.9M(6개)[10606]",PCI6-F16-4.9M,23000
SOL-PSF006,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 9.7M(1개)[10607]",PCI6-F32-9.7M,36500
SOL-PSF007,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 15M(1개)[10608]",PCI6-F50-15M,51000
SOL-PSF008,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 20M(1개)[10609]",PCI6-F66-20M,63800
SOL-PSF009,"[LANstar] PatchSee, CAT.6A, 10G, UL, FTP, 30M(1개)[10610]",PCI6-F100-30M,90000
SOL-PSF010,"[LANstar] PatchSee, CAT.6A, 10G, UL, UTP,Cross, 2.1M(1개)[10600]",XPCI6-U7-2.1M,14200
SOL-PSF011,"[LANstar] PatchSee, CAT.6A, 10G, UL, UTP, Cross, 4.9M(1개)[10601]",XPCI6-U7-4.9M,20000
SOL-PSU001,"[LANstar] PatchSee, CAT.6A, 10G, UL, UTP, 0.6M(12개)[10591]",PCI6-U2-0.6M,9300
SOL-PSU002,"[LANstar] PatchSee, CAT.6A, 10G, UL, UTP, 1.2M(12개)[10592]",PCI6-U4-1.2M,10200
SOL-PSU003,"[LANstar] PatchSee, CAT.6A, 10G, UTP, 2.1M(12개)[10593]",PCI6-U7-2.1M,12000
SOL-PSU004,"[LANstar] PatchSee, CAT.6A, 10G, UTP, 3.1M(6개)[10594]",PCI6-U10-3.1M,13500
SOL-PSU005,"[LANstar] PatchSee, CAT.6A, 10G, UTP, 4.9M(6개)[10595]",PCI6-U16-4.9M,17000
SOL-PSU006,"[LANstar] PatchSee, CAT.6A, 10G, UTP, 9.7M(1개)[10596]",PCI6-U32-9.7M,28000
SOL-PSU007,"[LANstar] PatchSee, CAT.6A, 10G, UTP, 15M(1개)[10597]",PCI6-U50-15M,37000
SOL-PSU008,"[LANstar] PatchSee, CAT.6A, 10G, UTP, 20M(1개)[10598]",PCI6-U66-20M,46000
SOL-PSU009,"[LANstar] PatchSee, CAT.6A, 10G, UL, UTP, 30M(1개)[10599]",PCI6-U100-30M,64000
SOL-PSU010,"[LANstar] DESKPATCH CAT.6A, 10G UTP, with Cable Holder(홀더) 5M - Violet Red [10745]",Desk-VR-6-U/5,13000
SOL-PSU011,"[LANstar] DESKPATCH CAT.6A, 10G UTP, with Cable Holder(홀더) 5M - Apple Green[10746]",Desk-AG-6-U/5,13000
SOL-PSU012,"[LANstar] DESKPATCH CAT.6A, 10G UTP, with Cable Holder(홀더) 5M - Bright White[10747]",Desk-BW-6-U/5,13000
SOL-PSU013,"[LANstar] DESKPATCH CAT.6A, 10G UTP, with Cable Holder(홀더) 5M - Sky Blue[10748]",Desk-SB-6-U/5,13000
TTA-DC어002,"ZOT 프린터 서버 아답타, 신제품 5V2A[40523] (100개)",LS-ZOTN-5V2A,6500
TTA-DC어007,"DC아답터, 12V 2A , **LS-USB3.0-SATA 호환** [33033] (100개)",LS-DC-12V-2A,5800
TTA-DC어043,"[순흥전기] DC아답터, 12V 1.2A [20324]",LS-DC-1212,4500
TTA-건전지001,맥셀 AA 알카라인 건전지(2개)[60012] MAXELL,MAXELL AA,600
