"# O=완제품 단위 인증서 보유 / 자재=자재별 성적서 묶음 보유 / X=없음. 케이블은 자재별 성적서 묶음도 정상적인 근거이며, 아래 자재커버리지로 누락 자재를 확인"
"# * 표시(O*, 자재*) = 라인 단위 인증서를 제품군에 대응시킨 추론 매핑에만 근거함. 고객 제출 전 해당 모델이 인증서 적용범위에 포함되는지 확인 권장"
모델명,Data sheet,RoHS,CE,CoC,Fluke test,제품구분,RoHS 자재커버리지,RoHS 미확보 자재,기타 보유자료,4대자료 없음수
LS-6AFTP-XXM,X,O,X,X,X,케이블,-,-,-,4
LS-6AUTP,X,X,O,X,X,케이블,-,-,-,4
"LS-6AUTP-0.5M,1M,2M,3M,5M,10M,15M,20M",X,X,X,X,O,케이블,-,-,-,4
LS-6AUTP-XM,O,X,X,X,X,케이블,-,-,-,4
LS-6AUTP-XXM,X,O,X,X,X,케이블,-,-,-,4
LS-6FTP-100MG,O,O,O,X,X,케이블,-,-,Test report,2
LS-6IC-FJM,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-6IC-FKTMT,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-6IC-UED4,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-6IC-UJ,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-6IC-UJW,O,O,X,X,X,케이블,-,-,"REACH, UL",3
LS-6IC-UK,O,X,X,X,X,커넥터/액세서리,-,-,UL,4
LS-6IC-UNJ24,O,X,O,X,X,커넥터/액세서리,-,-,UL,3
LS-6PLB-24P19N,O,X,O,X,O,커넥터/액세서리,-,-,UL,2
LS-6PLB-48P19,O,X,O,X,O,커넥터/액세서리,-,-,-,2
LS-6SFTP-300M,O,O,O,X,X,케이블,도체·자켓·절연·차폐,없음(완비),"Other-cert, Test report",2
LS-6STPD,O,X,X,X,X,케이블,-,-,-,4
LS-6STPD-*M,X,O,O,X,X,케이블,-,-,Test report,3
LS-6STPD-0.3M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-0.5M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-10M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-15M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-1M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-20M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-2M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-30M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-3M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-50M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-5M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-7M,X,X,X,X,O,케이블,-,-,-,4
LS-6STPD-XM,O,X,X,X,X,케이블,-,-,REACH,4
LS-6STPD-XXM,O,O,X,X,X,케이블,-,-,-,3
LS-6UTP-300,X,X,X,X,O*,케이블,-,-,-,4
LS-6UTP-300M,O,X,X,X,O,케이블,-,-,-,3
LS-6UTP-300MB,X,X,X,X,O,케이블,-,-,-,4
LS-6UTP-300MBK,X,X,X,X,O,케이블,-,-,-,4
LS-6UTP-300MG,O,자재,X,X,O,케이블,도체·절연,자켓,Other-cert,2
LS-6UTP-300MP,X,X,X,X,O,케이블,-,-,-,4
LS-6UTP-300MR,X,X,X,X,O,케이블,-,-,-,4
LS-6UTP-300MY,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPC,O,X,X,X,X,케이블,-,-,-,4
LS-6UTPC-*M,X,O,O,X,X,케이블,-,-,Test report,3
LS-6UTPC-10M,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPC-2M,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPC-3M,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPC-5M,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD,O,X,X,X,X,케이블,-,-,-,4
LS-6UTPD-*M,X,O,O,X,X,케이블,-,-,Test report,3
LS-6UTPD-0.5MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-10MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-15MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-1MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-20MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-2MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-30MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-3MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-50MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-5MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-7MG,X,X,X,X,O,케이블,-,-,-,4
LS-6UTPD-XXM,X,O,X,X,X,케이블,-,-,-,4
LS-750,O,X,X,X,X,케이블,-,-,-,4
LS-750H,O,O*,O*,X,X,케이블,-,-,"Other-cert, Test report",2
LS-750HB,O,O*,O*,X,X,케이블,-,-,"Other-cert, Test report",2
LS-750HS,O,O*,O*,X,X,케이블,-,-,"Other-cert, Test report",2
LS-7NSTPD,O,X,X,X,X,케이블,-,-,-,4
LS-7NSTPD-10M,X,X,X,X,O,케이블,-,-,-,4
LS-7NSTPD-15M,X,X,X,X,O,케이블,-,-,-,4
LS-7NSTPD-20M,X,X,X,X,O,케이블,-,-,-,4
LS-7NSTPD-2M,X,X,X,X,O,케이블,-,-,-,4
LS-7NSTPD-30M,X,X,X,X,O,케이블,-,-,-,4
LS-7NSTPD-3M,X,X,X,X,O,케이블,-,-,-,4
LS-7NSTPD-50M,X,X,X,X,O,케이블,-,-,-,4
LS-7NSTPD-5M,X,X,X,X,O,케이블,-,-,-,4
LS-7NSTPD-XXM,X,O,X,X,X,케이블,-,-,-,4
LS-7PLB-F24X,X,X,X,X,X,케이블,-,-,REACH,5
LS-7SD-BK0.2M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-7SD-BK0.5M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-7SD-BK1M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-7SD-BK2M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-7SD-BK3M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-7SD-BK5M,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-7SD-BKXM,O,O,X,자재,X,커넥터/액세서리,도금·도체·절연·차폐,커넥터,-,2
LS-7SD-FF0.2M,O,X,X,X,X,케이블,-,-,-,4
LS-7SSTP-100M,O,X,X,X,X,케이블,-,-,-,4
LS-7SSTP-300M,O,X,O,X,X,케이블,-,-,Test report,3
LS-7SSTPD,X,X,X,X,X,케이블,-,-,"Other-cert, REACH",5
LS-7SSTPD-0.5MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-10MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-15MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-1MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-20MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-2MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-30MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-3MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-50MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-5MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-7MG,X,X,X,X,O,케이블,-,-,-,4
LS-7SSTPD-XM,X,O,X,O,X,케이블,커넥터,도체·절연·자켓,"MSDS/SDS, PFAS, REACH",3
LS-7SSTPD-XMG,X,O,O,X,X,케이블,-,-,"MSDS/SDS, Test report",3
LS-7SSTPD-XXMG,X,O,X,X,X,케이블,-,-,-,4
LS-7UTP-100M,O,X,X,X,X,케이블,-,-,-,4
LS-7UTP-100MG,O,X,X,X,O,케이블,-,-,-,3
LS-7UTP-300MG,X,O,X,X,O,케이블,-,-,-,3
LS-800HQ,O,X,O*,X,X,커넥터/액세서리,-,-,Other-cert,3
LS-8SFTP-10M,O,X,X,X,O,케이블,-,-,-,3
LS-8SFTP-15M,O,X,X,X,O,케이블,-,-,-,3
LS-8SFTP-1M,O,X,X,X,O,케이블,-,-,-,3
LS-8SFTP-1M~20M,O,X,X,X,X,케이블,-,-,-,4
LS-8SFTP-20M,O,X,X,X,O,케이블,-,-,-,3
LS-8SFTP-2M,O,X,X,X,O,케이블,-,-,-,3
LS-8SFTP-3M,O,X,X,X,O,케이블,-,-,-,3
LS-8SFTP-5M,O,X,X,X,O,케이블,-,-,-,3
LS-8SFTP-XXM,O,O,X,X,X,케이블,-,-,-,3
LS-8SSTP-200MG,O,O,X,X,O,케이블,-,-,-,2
LS-BFTP7,X,O,O,X,X,케이블,-,-,-,3
LS-BFTP7-0.5M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-1.5M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-10M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-15M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-1M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-20M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-2M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-3M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-5M,O,X,X,X,O,케이블,-,-,-,3
LS-BFTP7-7M,O,X,X,X,O,케이블,-,-,-,3
LS-BOOT-CB7,자재,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-BOOT-CG7,자재,자재,X,X,X,커넥터/액세서리,자켓,커넥터,-,3
LS-BOOT-CR7,자재,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-BOOT-CY7,자재,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-BZ-KTBKZ,X,X,X,X,X,케이블,-,-,REACH,5
LS-BZ-KTWHZ,X,X,X,X,X,커넥터/액세서리,-,-,Other-cert,5
LS-C5K,O,X,X,X,X,커넥터/액세서리,-,-,-,4
LS-C5OD300,O,자재,X,X,O,케이블,도체·자켓·절연,없음(완비),-,2
LS-C5U305BK,O,자재,X,X,O,케이블,도체·자켓·절연,없음(완비),-,2
LS-C5U305BL,O,X,X,X,X,케이블,-,-,-,4
LS-C5U305G,O,자재,X,X,O,케이블,도체·자켓·절연,없음(완비),"Other-cert, Test report",2
LS-C5U305R,O,X,X,X,X,케이블,-,-,-,4
